codigo,pesado
459,0
581,0
925,0
1111,0
1208,0
1462,0
1481,0
1669,0
1799,0
1923,0
1954,0
1980,0
2063,0
2414,0
2439,0
2589,0
2809,0
3608,0
3644,0
3819,0
3889,0
4076,0
4902,0
5589,1
6415,0
6424,0
6880,0
6881,0
7069,0
7070,0
7196,0
7197,0
7399,0
7749,0
7988,0
7991,0
7992,0
8102,0
8550,0
8748,0
8971,0
9059,0
9097,0
10309,0
10392,0
10591,0
11848,0
11911,0
11980,0
12114,0
12148,0
12444,1
12737,0
12762,0
13074,0
13321,1
13362,0
13414,0
13973,0
14651,0
14834,1
15296,0
16504,0
18010,0
18168,0
18809,0
18925,0
19007,0
19012,1
19246,0
19407,0
20240,0
20522,0
20833,1
20834,1
20866,0
20868,0
21653,0
21655,0
21673,1
22133,0
22261,0
22376,0
24339,0
24340,1
24410,0
25298,1
25299,1
25735,0
25989,0
26165,0
26705,0
27300,1
27580,0
28869,0
29011,1
29384,0
29933,0
29964,0
30116,0
30158,1
30195,0
30675,0
30679,0
30715,0
31345,0
31744,0
31778,0
31784,1
31797,0
31951,0
31953,0
32178,0
32203,0
32783,0
32873,0
32876,0
33116,0
33193,0
33221,0
33609,0
34206,0
34449,0
34450,0
34484,1
34572,0
34874,0
35108,0
35658,0
35799,0
35834,1
35857,0
35882,0
35990,1
36080,0
36330,0
36337,1
36410,0
36686,0
36741,0
37077,0
37159,0
37192,0
37309,1
37395,0
37590,0
37697,0
37898,1
38432,0
38460,0
38753,0
39317,0
39391,0
39393,0
39493,0
39573,0
39772,0
39866,0
40031,0
40057,1
40314,0
40487,1
40764,0
40854,0
40908,0
41444,1
42555,0
43114,0
43231,1
43468,0
43730,1
43815,1
43831,1
43891,0
43935,1
44217,0
45480,0
45483,0
45617,0
46787,0
46791,0
46975,0
47158,0
47265,1
47266,1
47268,1
47269,1
47325,0
47533,1
47698,0
47777,0
47818,0
47912,0
48267,0
48478,1
48575,0
48697,0
48953,0
48956,0
49111,0
49179,0
49461,0
49604,0
49605,0
49690,1
49800,0
49839,0
49841,0
49855,0
49922,0
50082,0
50142,0
50541,0
50542,1
50543,1
50546,1
50581,0
50621,0
50634,1
50643,0
50744,0
50748,0
50749,0
50751,0
50752,0
50754,0
