,codigo_produto
0,19007
2,78359
3,96974
4,112992
5,128307
6,128308
16,148902
31,148903
39,148911
55,148914
57,148916
62,158275
68,206701
179,112159
256,339780
398,63735
404,95878
405,102205
406,104191
407,110438
411,161918
423,315969
425,315970
427,315974
428,319356
463,2414
1461,2439
1904,6424
3892,104643
3922,104644
4512,104646
4627,104647
4796,104653
4859,104656
4938,108360
5600,108367
6048,112656
7152,112668
8232,112672
9037,119219
9505,127396
9759,127400
11800,168128
11897,198851
12276,220062
12565,220066
13544,223451
14002,353478
14227,353479
14537,353480
14716,353481
14858,353482
15148,382506
15193,382507
15393,384031
15542,384033
15650,405230
15728,416212
15863,416214
16013,447023
16060,455711
16199,7988
16211,34206
16263,51725
16265,57019
16266,61409
16269,64803
16270,64804
16275,65799
16298,79413
16345,90560
16355,94232
16412,96126
16415,96348
16464,103962
16465,105132
16499,109028
16512,114544
16515,115571
16661,118923
16718,129246
16762,129973
16838,161596
16847,164864
16848,164865
16850,181064
16878,181876
16894,188201
16895,255433
16989,275866
17003,302300
17053,303805
17056,303807
17059,303809
17062,308480
17097,321070
17112,342980
17563,357647
18336,7069
18463,7070
19140,7196
19290,7197
19350,12762
20636,30116
21716,34450
22770,35857
23025,60658
23081,69273
24904,74804
25674,74806
26963,74807
27448,78882
27546,78883
27612,78885
28087,78891
28354,79031
28509,79032
28584,79033
29735,82827
30478,83577
30877,85365
31230,85712
40419,90889
40844,91074
40909,92207
40944,92211
41644,92216
42126,92217
42344,92697
42777,93325
45332,98508
45702,101159
45897,101168
46215,101169
46698,102569
46721,102571
47524,104163
48166,104878
48368,107843
48639,108731
49010,108754
49543,108756
49792,109000
49945,109001
50193,109883
50257,109886
50276,109887
50306,109890
50546,109891
50776,109894
50850,109906
51416,109907
51478,109908
51502,109909
52168,110326
52518,110331
53214,112654
53267,112655
53427,113722
53558,113723
53865,113725
53955,113730
54229,113873
54303,113876
54334,114081
54887,114085
55815,114086
56193,114420
57408,114578
57556,114700
57807,114702
57884,114705
58169,115078
58250,116152
58552,118924
58560,130217
58594,130845
58903,132862
59332,139368
59476,139376
59557,139377
59590,147329
59706,147330
59798,147331
59917,147628
59941,149643
59982,149644
60007,152465
60169,155592
60243,164908
60385,166275
60393,166276
60486,166295
60526,166296
60802,230241
60880,230243
61265,241206
61374,254109
61430,254128
61510,275181
61682,275186
61886,275859
61916,275861
61917,275862
61961,311419
61983,311420
62014,312311
62184,315031
62335,315032
62945,321651
63846,347278
63898,347279
64009,347280
64065,347281
64189,347283
64244,347284
64314,347285
64359,347286
64672,347287
64761,347288
64952,347289
65285,347290
65417,347291
65688,349591
65905,354008
65935,354009
65986,354011
66085,354012
66142,354014
66233,354018
66532,354043
66539,354047
66598,354049
67066,356496
67527,358115
67573,358116
67686,358118
67853,358558
67872,358559
67929,358584
68035,359992
68241,359993
68592,359994
68815,372748
68869,372761
68933,372762
69117,381249
69193,385136
69220,385137
69298,385564
69377,398925
69425,398929
69567,404744
69624,404745
69642,404748
69716,404749
69754,421052
69761,425742
69813,425743
69833,426648
69852,426649
69935,429389
70097,429390
70248,429391
70308,429392
70353,462376
70378,467244
70389,467245
70397,467267
75165,25735
76326,32783
81063,47698
81098,50811
87522,60634
95789,65198
95824,65199
102558,75948
103114,75952
103345,77953
103372,79005
105042,81094
105080,81425
107332,85896
107926,86013
114687,92361
118953,97519
119385,97949
124236,103243
133476,111849
140624,115188
140685,115707
147525,153338
149291,156184
150255,170518
151525,173578
151663,177236
151779,177691
152235,177707
154135,183080
157781,210361
159833,290761
159861,290762
165740,353729
166237,357273
166512,357275
171014,50541
171223,106990
171310,111985
171316,111986
171376,119073
171412,129575
171581,130894
171706,130895
171859,153402
172187,256043
172701,320308
172847,320312
172964,377580
173128,401257
173167,415812
173192,420796
173210,428736
173216,448240
173270,459179
174280,40764
174362,45480
174937,71577
175022,74326
176046,76545
176090,84114
176134,87846
176643,94709
176645,95567
176906,97248
176911,98390
176939,99637
177069,102904
177131,109030
177528,114850
177783,128246
177922,131152
178362,135529
178526,154214
178534,155712
178535,155713
178552,161431
178979,217159
178989,235042
179229,235912
179395,301518
179415,301519
179458,304858
179484,327937
179537,333438
180167,370015
180363,377554
180626,447417
180866,8748
182675,64448
184237,117273
184570,135390
185318,73227
185349,101407
185476,103484
185477,107038
186014,166919
187407,399666
187493,84111
187499,112993
187500,112995
187502,113000
187516,283719
187518,93416
187544,62618
187549,94753
187656,215926
187670,215929
187692,215930
187766,249109
187990,60508
187996,60509
188058,98412
188059,98413
188172,102369
188516,339486
188833,49800
189296,110050
189692,199094
189784,271777
191020,468937
191218,154267
193937,112489
194121,112581
196361,341253
197098,341381
197205,341383
197837,131976
198482,24339
199185,48956
199369,7991
199395,7992
199699,40908
200162,73224
200305,73228
200382,73229
200431,74389
200553,77847
200646,93212
200736,93213
200794,96729
201135,99166
201273,101144
201379,103485
201814,115726
201841,128116
201881,157593
201908,157594
201933,194538
202266,313510
202276,313511
202306,313512
203001,76880
203003,102822
203334,103986
205042,104634
206840,108298
207151,109745
207177,109750
207237,116165
207277,119994
207313,119995
207504,119997
208126,155006
211999,155010
212369,159052
212526,159449
212563,130914
213023,131896
213122,153638
213314,153651
227686,325487
231800,91021
231803,91023
231804,99977
231805,100226
231809,103351
231813,103352
231817,103353
231825,103388
231826,103389
231827,103534
231828,103535
231829,108256
231832,109993
231838,112852
231849,118847
232326,135785
233438,135787
233636,135794
233726,135795
233907,135802
234196,135803
234317,135804
234727,135808
234966,135810
235240,135814
235455,135818
235619,135819
235726,135820
235863,135832
236050,135833
237569,135835
237623,167864
237708,167870
237835,167872
237931,167873
238060,167874
238182,167884
238207,167885
238447,313439
238839,313440
239096,313442
239358,313444
239438,313493
239532,313494
239573,313495
239671,313496
239837,313502
239851,313504
240052,391198
240185,391200
240211,391208
240223,391209
240253,391210
240307,391212
240347,391215
240355,391216
240401,391218
240448,391220
240485,391221
240524,391230
240558,391231
240606,391232
241525,102616
241529,102620
241533,102621
241548,108648
241553,108649
241558,108656
241559,132515
241764,36686
