,codigo_produto
0,19007
1,37192
3,96974
4,112992
5,128307
6,128308
16,148902
31,148903
39,148911
55,148914
57,148916
62,158275
68,206701
179,112159
256,339780
389,155680
398,63735
404,95878
405,102205
406,104191
407,110438
411,161918
423,315969
425,315970
427,315974
428,319356
454,57516
456,86509
459,128069
463,2414
4938,108360
5480,108363
5600,108367
6048,112656
16013,447023
16199,7988
16211,34206
16263,51725
16265,57019
16266,61409
16269,64803
16270,64804
16275,65799
16298,79413
16345,90560
16355,94232
16412,96126
16415,96348
16464,103962
16465,105132
16499,109028
16512,114544
16515,115571
16661,118923
16718,129246
16762,129973
16838,161596
16847,164864
16848,164865
16850,181064
16878,181876
16894,188201
16895,255433
16989,275866
17053,303805
17056,303807
17059,303809
17062,308480
17097,321070
17112,342980
17563,357647
18336,7069
18463,7070
19140,7196
19290,7197
19350,12762
20636,30116
21716,34450
22770,35857
23025,60658
23081,69273
24904,74804
25674,74806
26963,74807
27448,78882
27546,78883
27612,78885
28087,78891
28354,79031
28509,79032
28584,79033
29735,82827
30478,83577
30877,85365
31230,85712
31459,86010
40419,90889
40844,91074
40909,92207
40944,92211
41644,92216
42126,92217
42344,92697
42777,93325
44996,97254
45332,98508
45551,99531
45702,101159
45897,101168
46215,101169
46698,102569
46721,102571
47524,104163
48166,104878
48368,107843
48639,108731
49010,108754
49543,108756
49792,109000
49945,109001
50193,109883
50257,109886
50276,109887
50306,109890
50546,109891
50776,109894
50828,109901
50850,109906
51416,109907
51478,109908
51502,109909
52168,110326
52518,110331
53214,112654
53267,112655
53427,113722
53558,113723
53865,113725
53955,113730
54229,113873
54303,113876
54334,114081
54887,114085
55815,114086
56193,114420
57408,114578
57556,114700
57807,114702
57884,114705
58169,115078
58250,116152
58552,118924
58560,130217
58594,130845
58903,132862
59332,139368
59476,139376
59557,139377
59590,147329
59706,147330
59798,147331
59917,147628
59941,149643
59982,149644
60007,152465
60169,155592
60243,164908
60385,166275
60393,166276
60486,166295
60526,166296
60802,230241
60880,230243
60902,230244
61265,241206
61374,254109
61420,254127
61430,254128
61510,275181
61682,275186
61886,275859
61916,275861
61917,275862
61961,311419
61983,311420
62014,312311
62184,315031
62335,315032
62945,321651
63846,347278
63898,347279
64009,347280
64065,347281
64189,347283
64244,347284
64314,347285
64359,347286
64672,347287
64761,347288
64952,347289
65285,347290
65417,347291
65688,349591
65905,354008
65935,354009
65986,354011
66085,354012
66142,354014
66233,354018
66532,354043
66539,354047
66598,354049
67066,356496
67527,358115
67573,358116
67686,358118
67853,358558
67872,358559
67929,358584
68035,359992
68241,359993
68592,359994
68815,372748
68869,372761
68933,372762
69084,380579
69099,380581
69111,380582
69117,381249
69193,385136
69220,385137
69298,385564
69377,398925
69425,398929
69504,398931
69558,398933
69567,404744
69624,404745
69642,404748
69716,404749
69740,421051
69754,421052
69761,425742
69813,425743
69833,426648
69852,426649
69935,429389
70097,429390
70248,429391
70308,429392
70342,459415
70353,462376
70378,467244
70389,467245
70394,467251
70396,467254
70397,467267
70679,3608
71010,3644
71272,3889
71507,12737
71881,13074
72074,13414
72135,16504
72420,18010
72647,18168
72748,19407
73040,21653
74741,24410
75165,25735
75877,25989
76326,32783
76704,35658
78128,35882
80174,37077
80387,37395
80466,38460
80564,39493
80883,39866
80972,40854
81063,47698
81098,50811
81177,54507
84487,57214
84556,57215
86322,57530
86331,58445
86670,59451
87085,59452
87204,59650
87328,59904
87516,60288
87522,60634
87680,61009
87719,61010
88407,62084
92417,63049
92890,63051
92937,63052
93035,63053
93080,63728
93315,63729
95301,64118
95315,64501
95316,64503
95484,64986
95789,65198
95824,65199
96017,66272
97478,66308
98032,66492
98141,66913
98266,68916
98518,69390
98961,70076
101934,72038
102558,75948
102752,75949
103040,75951
103114,75952
103314,77094
103324,77575
103345,77953
103372,79005
103545,80212
103820,80215
103891,80502
104025,80503
104154,80764
105042,81094
105080,81425
105082,83582
105422,83842
105754,84118
106094,84578
106131,85733
107238,85734
107332,85896
107926,86013
108377,86043
108535,86711
108593,87352
108893,87384
109332,88349
112907,90469
114083,90721
114369,90722
114668,91153
114687,92361
115464,92840
115504,94078
115712,94481
116638,94941
117543,95816
117704,96056
117760,96324
118152,97004
118426,97005
118542,97006
118701,97427
118703,97509
118953,97519
119207,97843
119316,97948
119385,97949
119492,98031
119968,98032
120462,98723
120698,98724
120974,99001
122280,99484
122283,99701
122373,100110
122929,102087
123125,102088
123158,102306
123177,102902
123178,103019
123256,103129
123662,103239
123888,103240
124130,103242
124236,103243
125077,103247
126985,103399
127320,104157
127535,104474
127601,104475
127684,104476
127692,104477
127748,104542
127807,104586
128963,104834
129040,104958
129576,104959
129852,104960
130008,104963
130373,104968
131430,107842
131665,107874
131731,107999
132247,108574
132289,108714
132942,108758
133016,108759
133057,109352
133058,110455
133259,111848
133476,111849
134183,111940
136627,113224
137012,113225
137383,113280
137384,113299
137656,113304
137814,113305
138505,113309
138716,113313
139145,113337
139185,113339
139219,113485
140321,114468
140354,114469
140494,115187
140624,115188
140685,115707
140775,115710
140943,117296
140989,119856
144160,129537
144721,132228
145832,147633
145847,150199
145872,150530
146032,150531
146171,150534
147382,153066
147393,153194
147525,153338
148433,154879
149291,156184
149556,159415
149937,159427
150255,170518
150565,172251
151076,172672
151193,172673
151525,173578
151544,175520
151568,177235
151663,177236
151779,177691
151787,177692
151792,177693
151833,177706
152235,177707
153511,177709
154135,183080
154137,187158
155867,190319
156088,190442
156106,190444
156206,190449
156316,190472
156472,190473
156585,202456
156771,202458
156918,206298
157564,206299
157690,206300
157781,210361
159103,252361
159158,252362
159338,252552
159433,252564
159581,255785
159792,265908
159833,290761
159861,290762
160143,302001
160382,304526
160664,304532
161986,308347
163138,308574
163263,308576
163308,308578
163344,311401
163439,314855
163442,316248
163509,316249
163939,328629
164403,328633
164418,328648
164433,328649
164626,345849
165037,345850
165740,353729
165752,356602
165766,356603
165802,356759
165901,357270
166005,357271
166237,357273
166512,357275
166625,357276
166765,357284
166865,357288
166991,367616
167233,370052
167310,378551
167317,378556
167321,378557
167368,380684
170233,398479
170304,398480
171014,50541
171223,106990
171238,106993
171309,108483
171310,111985
171316,111986
171376,119073
171412,129575
171581,130894
171706,130895
171859,153402
172187,256043
172234,316207
172701,320308
172847,320312
172908,377579
172964,377580
172988,377581
172999,400853
173128,401257
173137,401259
173167,415812
173192,420796
173210,428736
173216,448240
173270,459179
174280,40764
174362,45480
174937,71577
175022,74326
176046,76545
176134,87846
176643,94709
176645,95567
176906,97248
176911,98390
176939,99637
177069,102904
177131,109030
177151,109905
177250,113193
177528,114850
177783,128246
177922,131152
178362,135529
178526,154214
178534,155712
178535,155713
178552,161431
178662,173530
178959,189159
178979,217159
178989,235042
179229,235912
179395,301518
179415,301519
179458,304858
179484,327937
179537,333438
179954,354083
180167,370015
180363,377554
180618,441114
180626,447417
180760,453550
180767,457799
180781,457800
180789,8550
180866,8748
181020,9097
181024,29384
181026,33116
182675,64448
183421,104363
183436,104365
183462,104366
183499,104367
184192,115588
184237,117273
184386,117274
184570,135390
185027,375498
185111,375499
185318,73227
185349,101407
185476,103484
185477,107038
185722,149610
185974,158169
186001,158171
186014,166919
186160,255290
186170,255306
186209,255487
187305,312985
187321,348056
187322,348068
187346,350211
187407,399666
187458,101917
187492,80924
187493,84111
187494,97117
187499,112993
187500,112995
187502,113000
187516,283719
187518,93416
187522,93418
187656,215926
187670,215929
187692,215930
187766,249109
187990,60508
187996,60509
188053,84584
188054,88867
188058,98412
188059,98413
188298,152447
188304,152449
188353,108861
188516,339486
188573,339521
188756,31797
188833,49800
188926,73109
189296,110050
189489,151146
189502,151167
189692,199094
189763,199098
189784,271777
190052,271778
190532,356037
190853,468923
190919,468924
191020,468937
191063,468942
191217,115427
191218,154267
193767,112486
193937,112489
194121,112581
194543,112582
196361,341253
196406,341254
197098,341381
197205,341383
197245,341384
197831,91136
197832,111537
197837,131976
197856,379625
198022,160065
198299,418251
198322,418253
198351,418254
198379,465568
198382,465569
198384,465570
198387,465571
198388,465573
198391,465580
198399,465581
198402,465582
198404,465583
198407,465584
198411,465585
198413,465586
198419,465587
198427,465590
198438,465591
198445,465592
198448,465606
198453,465607
198457,465610
198460,465611
198464,465614
198468,465617
198482,24339
199091,48953
199185,48956
199291,152527
199369,7991
199395,7992
199668,22133
199699,40908
200162,73224
200431,74389
200553,77847
200646,93212
200736,93213
200781,95995
200821,96888
201135,99166
201273,101144
201341,102334
201814,115726
201841,128116
201881,157593
201908,157594
201933,194538
202251,313507
202266,313510
202276,313511
202306,313512
203001,76880
203003,102822
203333,102824
203334,103986
205041,103992
205042,104634
206834,107095
206836,107098
206840,108298
207109,109739
207151,109745
207165,109747
207173,109748
207177,109750
207237,116165
207277,119994
207313,119995
207504,119997
208126,155006
211999,155010
212369,159052
212526,159449
212563,130914
213023,131896
213122,153638
213314,153651
227686,325487
231800,91021
231803,91023
231804,99977
231805,100226
231809,103351
231813,103352
231817,103353
231825,103388
231826,103389
231827,103534
231828,103535
231829,108256
231832,109993
231838,112852
231849,118847
232326,135785
233438,135787
233636,135794
233726,135795
233907,135802
234196,135803
234317,135804
234727,135808
234966,135810
235240,135814
235455,135818
235619,135819
235726,135820
235863,135832
236050,135833
237569,135835
237623,167864
237708,167870
237835,167872
237931,167873
238060,167874
238182,167884
238207,167885
238447,313439
238839,313440
239096,313442
239358,313444
239438,313493
239532,313494
239573,313495
239671,313496
239837,313502
239851,313504
240052,391198
240185,391200
240211,391208
240223,391209
240253,391210
240307,391212
240344,391214
240347,391215
240355,391216
240401,391218
240448,391220
240485,391221
240524,391230
240558,391231
240606,391232
241500,309038
241525,102616
241529,102620
241533,102621
241548,108648
241553,108649
241558,108656
241559,132515
241764,36686
243845,49605
246517,69306
247949,70545
251483,90008
253512,93936
254932,97092
256642,97988
257516,97989
262035,100274
262369,100275
262836,100425
263005,101704
263016,101705
263019,101774
263097,101775
263223,101776
263379,102109
274593,102652
275588,102653
276399,102654
277107,102827
277347,102828
277944,104004
278966,104005
279242,107332
282011,107334
285274,108087
285778,109695
295063,114289
298411,120485
299739,120488
300712,120491
300899,120492
301477,128224
301542,133237
301833,134252
302149,134253
305799,149990
308529,161600
309142,161611
311219,263077
311896,263078
312325,263079
312408,269638
313360,269639
313951,275875
314320,275876
316430,388054
316644,388056
317820,388064
318289,404402
318663,405296
324499,42555
325939,46791
326849,49839
327873,50621
330758,61920
333175,64164
337641,75089
338019,75286
347157,82787
347252,82789
347964,83828
348631,84073
353967,84447
354953,84471
354959,84475
356220,84476
358291,85059
397754,85842
400264,87558
400308,87562
400839,87563
401037,87567
402043,88881
403065,89172
406632,89621
407855,89811
413472,89992
415539,90597
416212,91027
416718,91744
418227,92287
423794,93157
434815,350188
443527,435938
444300,54481
444414,56643
444554,79412
444629,85761
444726,371981
447273,64658
447735,89782
448012,99034
448116,99107
448945,112865
449317,118917
449485,129227
449630,132593
449702,147943
449879,164399
450117,165065
450178,173449
450421,276320
450850,331034
450964,331035
451381,108312
451423,112866
451475,134043
451610,43891
451634,417842
451640,417843
451645,417848
453455,108638
459657,129233
460111,130049
462601,132369
467705,401942
467817,108023
467827,201526
467842,235134
467844,244893
467875,247763
467880,247766
468072,154139
468185,303449
483985,84136
484037,85818
484063,86019
484073,87844
484189,93427
484681,94927
485197,96950
485221,96951
485239,97089
485401,97283
485435,97322
485439,100672
485455,100863
485488,101520
485647,103284
485804,109945
485846,110145
485860,111734
485895,111822
485908,112886
485912,112888
486082,114272
486532,115553
486545,115559
486556,128029
486576,128061
486604,128301
486621,128303
486676,128304
486681,128305
486687,128306
486702,128309
486750,128310
486795,129553
486802,130254
486812,133477
486887,134854
487239,148812
487284,158231
487499,158252
487528,158254
487897,158267
487904,158274
488089,206702
488125,206703
488130,211413
488143,212202
488428,252405
488433,252406
488711,276321
488770,285116
488793,285226
488825,313321
488833,318633
488906,320814
489373,357392
489383,366476
489418,395135
489430,422923
490356,34874
491769,36080
494083,197233
494705,9059
494709,34572
494744,108309
494916,154131
494976,75742
495601,109807
495615,109808
495724,128413
495773,129752
495774,131015
496050,131016
496177,131021
496615,154257
498954,154258
501262,154259
504079,154263
505064,154264
505172,154265
505231,154266
507932,154270
507933,154272
508235,154274
508401,156737
508574,156738
508711,156739
508864,158625
509276,158626
509540,158855
509888,158856
510240,165066
510487,208428
510567,208429
510821,219448
511779,219449
513532,219451
514080,219452
514476,219453
514895,229536
516149,248300
516161,248301
517423,255427
517648,265950
517782,265951
524237,268070
524686,274005
527224,274006
529208,285546
529252,285557
529296,285560
529345,289495
529802,304363
541551,313535
542502,324440
556671,353965
556771,353966
557462,382196
557498,382197
557506,382198
557584,382199
557691,382201
559703,382223
559733,382224
561197,397842
561280,397843
561609,399811
561625,420224
561752,429413
561800,429414
561858,429415
561910,432984
561973,450689
562848,450690
562905,450691
563025,450692
563095,450716
563159,450717
563225,458492
563506,458540
563877,133087
563908,133089
566035,102945
566160,104382
567275,128022
568649,100660
568663,95479
569823,101473
569922,101512
569936,101513
571195,107466
571376,107468
571554,111956
571565,111957
571946,111959
571997,115052
572254,117243
572310,117244
572556,128504
572809,128505
573253,128506
573365,128507
573658,128509
573792,128510
574228,128511
574497,128512
574625,128521
574796,128522
574865,128523
574912,128524
575084,128525
575312,128527
575401,128528
575484,128529
575529,128530
575618,128532
575641,128534
575654,128538
575665,131349
575768,148540
575897,240404
576243,240405
576696,275503
576716,275505
576731,275508
576777,275512
576779,275513
576861,275527
576889,275531
576913,275533
576999,275542
577026,275545
577103,276163
577169,276164
577305,285789
577405,285790
577474,285791
577549,285792
577698,285793
577752,285794
577800,285795
577848,285796
577935,285797
578019,285798
578177,285800
578228,303696
578341,306092
578520,306093
578592,306094
579019,315402
579325,315403
579412,315404
579593,347332
579656,347334
579686,347335
579732,347336
579804,347337
579849,347338
579877,347339
580021,347345
580042,347347
580132,347350
580176,347351
580251,347354
580294,347355
580397,347357
580487,347359
580526,430194
580560,430195
580579,430196
580642,430198
580660,430199
580719,430200
580742,430201
580801,430202
580831,430203
580854,430211
580882,431476
580936,431477
580945,431478
580965,431509
581013,431510
581041,431511
581070,431512
581114,431513
581160,431532
581217,431533
581247,431534
581262,431535
581324,466649
581327,466650
581332,466652
581341,466653
581350,466654
581358,466655
581368,466656
581374,466657
581376,466658
581377,466659
581387,466660
581463,13973
582172,76576
582363,91030
582479,93777
582488,96121
582587,98389
582641,98392
582955,104954
582978,105111
582988,109029
583005,112860
583484,159441
583756,303808
583759,303810
583852,363688
583858,399007
583871,399011
583876,399012
584110,311926
584372,115803
584381,238165
584435,401293
584521,359563
586246,364304
586529,364305
586966,365005
587058,365006
587145,365052
