,codigo_produto
402,90558
403,93575
409,114923
410,115063
422,310158
429,332307
433,338408
447,351526
8265,112676
9829,128491
16214,35799
16215,37697
16237,43468
16262,50142
16277,66405
16292,71415
16296,77590
16644,117870
16836,148917
16993,292479
17873,4076
20684,34449
23429,70794
31490,86417
34476,89749
39032,90888
42983,93393
43548,95288
44681,95485
58497,118922
70501,1481
71502,6881
73156,21655
78161,36410
81672,55647
88743,62396
99070,70078
99409,71487
101937,73057
105824,84577
109353,90237
125128,103248
128389,104667
130662,107397
134389,112859
141426,128544
141939,128719
145293,132231
148657,155719
152383,177708
154618,190292
154921,190317
171738,153400
171963,173897
172261,316210
172311,320305
172706,320309
173490,20868
174363,49461
176089,84108
176132,85644
176149,93434
177247,112410
177265,114781
177529,115818
177785,128317
179250,244988
179651,334672
187512,181065
187514,283718
191464,333983
191765,333985
199445,10392
199801,73223
200217,73226
201435,111961
202343,397631
203759,103988
205217,104638
208472,155008
213149,153639
213150,153648
213313,153649
213645,153652
215619,153653
217000,153654
217066,312089
231834,109996
242748,49604
250086,79279
257751,98244
260739,100273
263884,102649
272281,102650
273169,102651
279570,107333
283733,107336
286701,112947
288868,112948
295494,114290
297659,117314
298485,120486
298799,120487
302468,149984
303092,149985
303790,149989
310304,181877
310889,181878
314691,312917
315799,364321
317153,388060
318523,405295
319802,8971
321294,26165
321926,33609
326979,49841
328212,59467
330819,63196
330935,63197
341687,80575
343112,80632
345565,81132
359048,85196
361998,85197
379308,85198
401215,87569
408150,89940
415747,90720
416759,92231
418674,92357
424696,93160
432074,306106
444041,12148
449057,114929
449592,130048
449965,165059
450622,324205
467784,102049
467940,108311
468028,122936
485770,108346
486102,115062
486342,115216
486888,147640
487005,147641
487289,158240
488213,212203
488277,214960
488382,252398
488749,283252
488795,311023
488961,338391
489136,338409
489303,338410
494716,108308
494753,110142
512486,219450
518206,265965
521646,265966
530648,304366
531966,304367
535105,308550
540806,313533
541565,324439
543182,324441
546001,333982
549418,333984
557695,382202
559331,382205
568742,95480
581488,20866
581907,39391
581963,39393
582073,61413
582208,79357
582814,103431
583215,132844
583225,147631
584334,97804
584337,97805
584342,102051
584371,115801
584373,161470
584374,161471
584379,238164
584391,287649
584392,287650
584393,394555
588443,367032
590911,415702
593115,86689
593195,102937
594018,102999
594732,275872
596724,105015
596795,130169
597707,130170
598221,130171
598881,130177
599241,154111
599935,154112
600716,155438
601846,172294
602447,172320
602802,316365
604410,391433
610432,117869
620452,112074
621279,10591
643235,324206
645715,397655
650392,97264
651533,99682
653269,100916
655945,108257
658277,112990
658709,112991
659040,114782
659289,115539
660720,129350
663903,150657
664509,164854
702055,341563
703746,353563
705246,353564
710011,132847
710956,93253
711690,130028
711753,130029
714096,206601
769213,92590
777804,93168
780570,94007
781678,94555
786810,94731
786926,94943
787643,95217
788390,95803
790947,96815
794939,96820
795422,96821
795457,96822
796376,96823
797343,96826
803040,97020
807879,98069
808206,98070
808599,98071
809571,98290
810212,98544
810519,98545
811444,98696
821535,99472
825194,99474
831387,99475
837047,99761
839997,100014
840080,100025
840290,100055
848477,101288
850031,101319
852769,102002
858275,232754
867581,387325
874494,101294
876013,101524
904304,353745
915769,91161
923328,102770
936077,104952
942824,391830
943514,401264
945235,401269
946191,405788
950411,322081
953613,165060
953660,165062
956486,378876
956565,378877
956604,378878
957689,114269
958145,280890
960603,6880
972320,57527
978792,94224
982207,95722
984856,98391
985488,101211
988568,103609
989777,104999
991718,109633
991892,109801
992791,109802
992976,111834
993689,114164
995001,114165
996757,115318
997748,117768
1001338,134027
1001661,147962
1002251,161595
1003163,188292
1003341,191789
1003496,196694
1005513,270812
1008461,404149
1009894,129653
1013767,100565
1019713,50082
1019731,114518
1019736,150374
1025193,128647
1025196,128648
1026225,391609
1033920,107331
1048489,364073
1050603,396722
1051636,396723
1065508,108904
1066817,69351
1068874,153646
1072246,153647
1084185,153650
1108797,154547
1111380,154996
1113864,155124
1130901,155431
1141163,155514
1144284,155515
1154189,156584
1157603,156588
1165893,158068
1168390,158069
1172676,158534
1176253,159814
1176939,159815
1179288,161545
1181505,161547
1185067,161548
1192143,162464
1194359,162465
1195826,162466
1197057,162664
1199841,162665
1204684,163199
1207708,163972
1209044,163973
1210923,163974
1220708,165133
1225343,165672
1230142,166059
1234998,166779
1236189,169967
1241050,171437
1248021,172296
1253576,172365
1261381,172366
1268639,172409
1275066,172413
1285061,180539
1449952,102146
1453327,102248
1456891,102433
1464251,102977
1466162,103280
1468767,103281
1482570,103433
1485098,103911
1486583,103912
1496968,105006
1496992,105009
1497129,105010
1502627,69352
1518755,95868
1533657,107964
1536034,108983
1536985,108985
1540115,109222
1541383,109942
1553975,115413
1558347,120674
1560276,128031
1561129,128205
1568830,128956
1585777,152114
1595410,178730
1600917,222999
1601287,227818
1609008,252274
1612586,310981
1638670,399665
1639312,402585
1651606,61837
1652890,73613
1654914,85116
1665532,105108
1701071,113463
1704715,383616
1708525,132783
1710817,55224
1713812,69297
1715296,74800
1757791,109815
1765525,110163
1767525,110815
1768532,110922
1770415,111130
1771066,111131
1772024,111132
1772795,111133
1772972,111155
1774570,111836
1782284,113859
1785963,113863
1786193,113888
1787593,113889
1787980,113890
1788501,113891
1789397,113984
1790887,114027
1801434,114222
1802305,114223
1808047,114450
1809742,114451
1812672,114496
1816324,114553
1817552,114556
1819579,114586
1820740,114587
1823286,114638
1823947,114639
1824055,114640
1824127,114641
1824360,114643
1824458,114644
1824948,114872
1827742,115051
1830170,115067
1836213,115319
1839679,115586
1840728,115749
1842339,117222
1843140,117767
1849903,121164
1850199,121366
1852567,127699
1856577,127700
1859671,127701
1873288,129451
1874682,129459
1875148,129460
1876192,129963
1876212,130038
1876260,130039
1876353,130040
1876419,130041
1876548,130043
1879396,130889
1881557,131014
1884338,131919
1897411,135690
1901036,143077
1901316,143090
1901651,147639
1907297,149802
1911959,150980
1914231,151573
1940095,94769
2000036,114788
2010038,237898
2014441,112689
2014541,228599
2014547,228600
2014555,228601
2015432,385192
2018688,157846
2037267,93886
2038319,268907
2040310,286184
2040989,317433
2041824,317436
2043670,108149
2047243,129093
2050557,129095
2051770,156089
2056750,156090
2062443,319013
2067158,388917
2084935,376628
2085415,232162
2085480,381957
2086661,381958
2091973,152120
2096203,112038
2099526,112042
2101175,112044
2114444,202165
2124268,80366
2155096,181088
2161479,181089
2170094,190144
2185138,193299
2191692,193303
2195692,193500
2198494,193637
2217724,201507
2227025,205556
2256018,229176
2260483,229177
2265965,233386
2272783,235984
2295492,250660
2298470,250678
2301381,250681
2302155,250682
2307464,250688
2310206,250689
2311569,250690
2332637,272330
2334014,272331
2339096,272356
2341914,272357
2345673,275851
2351525,280889
2366169,91076
2374831,92983
2378994,97355
2418859,154133
2425595,163273
2427629,329907
2442786,154132
2447098,353732
2541582,110396
2599525,111807
2600608,111808
2625185,113182
2710509,164446
2746464,196254
2784783,368437
2788843,377090
2808960,66733
2813973,66740
2815286,66741
2828582,79072
2855448,114604
2867374,319321
2874856,259992
2886020,371586
2903744,272697
2905105,307615
2905541,307616
2906766,307618
2911407,397032
2930318,101769
2934662,115800
2960370,287651
2984046,114917
2990689,195574
2992157,195585
3021139,149558
3022540,149559
3073992,206599
3075595,206600
3078668,206602
3080283,206623
3086806,266809
3087806,266810
3088682,266825
3097382,293317
3100559,293318
3105948,305815
3112815,324403
3115299,324404
3116671,324405
3128157,285944
3140950,294251
3155553,308221
3165091,310983
3166828,310984
3192338,320796
3194670,320797
3201200,320798
3207003,320799
3231274,333145
3239035,333154
3243759,333572
3261777,347019
3281381,364619
3282585,364620
3291970,368052
3297332,369655
3301606,369656
3305230,369657
3310339,369658
3319202,371159
3335746,324820
3341362,324824
3343399,324825
3344798,324826
3349408,325681
3352694,325682
3354765,325684
3364368,353735
3367945,357521
3371730,357522
3372663,357523
3380019,374859
3380771,374870
3391858,405631
3393002,405637
3394047,405638
3395898,405675
3396227,405676
3396700,405677
3447440,152749
3466663,114645
3696484,341413
3697798,353604
3699108,365704
3738956,128645
3796724,93486
3800629,72200
3805803,241781
3857339,371585
3862412,371587
3864043,371590
3864674,371591
3865967,371598
3866511,371599
3867574,371601
3868414,386856
3868601,386857
3869067,386859
3870425,60605
3875117,100626
3886171,100859
3888807,108078
3918188,134388
3920170,134669
3933922,135695
3936097,135696
3958690,148655
3978209,150631
3998644,378457
4000266,378464
4006914,380743
4008228,380744
4017377,380745
4028673,380746
4030538,380802
4032999,381328
4033555,382632
4039658,383321
4044698,383892
4048342,383894
4051882,384627
4054579,384635
4072725,391124
4074278,391828
4075295,391851
4079645,391852
4082985,391853
4085060,391854
4092720,397219
4095517,397721
4182550,201413
4182992,155185
4187660,374091
4206407,368436
4237385,98064
4242450,101797
4250310,113462
4275349,195146
4276094,195147
4277213,195148
4278185,208371
4287025,309020
4290707,339781
4335792,80787
4336757,101537
4364858,100359
4366518,104688
4383178,86161
4386220,94582
4393402,113386
4395289,113387
4401981,131553
4404137,131562
4417773,148837
4463879,356627
4504398,372089
4517757,387409
4522028,157700
4549561,397121
4549914,397122
4550141,397123
4551515,397129
4553164,397138
4556918,397139
4558721,397140
4559834,397145
4561298,397168
4561400,397169
4623930,80284
4626778,80285
